,,,,,,,
,,,,,,,
,,,,,,,
CVE_ENT,Entidad federativa,Gran sector y tamaño del establecimiento,Población inicial1,Nacimientos2,Muertes2,Población actual2,
07,Chiapas,Micro, 101 339, 17 054, 15 904, 102 489,
07,Chiapas,PyME´s, 1 443,  18,  207, 1 254,
07,Chiapas,Servicios Privados no Financieros, 75 834, 11 675, 16 746, 70 763,
07,Chiapas,Micro, 74 095, 11 601, 16 317, 69 379,
07,Chiapas,PyME´s, 1 739,  74,  429, 1 384,
08,Chihuahua,Total, 101 385, 10 433, 20 964, 90 854,
08,Chihuahua,Micro, 95 935, 10 308, 20 040, 86 203,
08,Chihuahua,PyME´s, 5 450,  126,  924, 4 651,
08,Chihuahua,Manufacturas, 8 399,  456, 1 400, 7 456,
08,Chihuahua,Micro, 7 691,  456, 1 302, 6 846,
08,Chihuahua,PyME´s,  708,  0,  98,  610,
08,Chihuahua,Comercio, 47 869, 4 951, 8 661, 44 159,
08,Chihuahua,Micro, 45 721, 4 904, 8 410, 42 215,
08,Chihuahua,PyME´s, 2 148,  47,  251, 1 944,
08,Chihuahua,Servicios Privados no Financieros, 45 117, 5 026, 10 903, 39 239,
08,Chihuahua,Micro, 42 523, 4 947, 10 328, 37 142,
08,Chihuahua,PyME´s, 2 594,  78,  575, 2 097,
09,Ciudad de México,Total, 387 681, 35 274, 77 266, 345 690,
09,Ciudad de México,Micro, 362 430, 34 540, 71 710, 325 260,
09,Ciudad de México,PyME´s, 25 251,  734, 5 556, 20 430,
09,Ciudad de México,Manufacturas, 30 484, 2 396, 4 375, 28 505,
09,Ciudad de México,Micro, 27 207, 2 242, 3 983, 25 465,
09,Ciudad de México,PyME´s, 3 277,  154,  391, 3 041,
09,Ciudad de México,Comercio, 187 602, 16 917, 32 625, 171 894,
09,Ciudad de México,Micro, 180 342, 16 750, 31 103, 165 989,
09,Ciudad de México,PyME´s, 7 261,  167, 1 523, 5 905,
09,Ciudad de México,Servicios Privados no Financieros, 169 595, 15 961, 40 266, 145 291,
09,Ciudad de México,Micro, 154 882, 15 549, 36 624, 133 806,
09,Ciudad de México,PyME´s, 14 713,  413, 3 642, 11 484,
10,Durango,Total, 61 175, 9 068, 13 725, 56 518,
10,Durango,Micro, 59 091, 8 985, 13 390, 54 687,
10,Durango,PyME´s, 2 083,  82,  335, 1 831,
10,Durango,Manufacturas, 6 155,  746, 1 050, 5 851,
10,Durango,Micro, 5 785,  738,  982, 5 541,
10,Durango,PyME´s,  370,  8,  68,  310,
10,Durango,Comercio, 26 983, 4 384, 5 294, 26 073,
10,Durango,Micro, 26 324, 4 356, 5 208, 25 473,
10,Durango,PyME´s,  659,  27,  85,  601,
10,Durango,Servicios Privados no Financieros, 28 036, 3 938, 7 381, 24 593,
10,Durango,Micro, 26 982, 3 891, 7 200, 23 673,
10,Durango,PyME´s, 1 054,  47,  181,  920,
11,Guanajuato,Total, 286 117, 38 280, 59 246, 265 151,
11,Guanajuato,Micro, 277 849, 38 093, 57 463, 258 480,
11,Guanajuato,PyME´s, 8 268,  186, 1 783, 6 672,
11,Guanajuato,Manufacturas, 30 776, 2 601, 5 320, 28 057,
11,Guanajuato,Micro, 27 953, 2 534, 4 784, 25 702,
11,Guanajuato,PyME´s, 2 823,  67,  536, 2 354,
11,Guanajuato,Comercio, 166 707, 24 108, 34 609, 156 206,
